statecoursecodeid,code,name,CS_Courses
563,6588,Southeast Asian Language Conversation and Culture 06588,no
564,6589,Southeast Asian Literature 06589,no
565,6590,IB Language A (non-English)-Southeast Asian Language 06590,no
566,6591,IB Language B-Southeast Asian Language 06591,no
567,6599,Southeast Asian Language-Other 06599,no
568,6601,Russian I 06601,no
569,6602,Russian II 06602,no
570,6603,Russian III 06603,no
571,6604,Russian IV 06604,no
572,6605,Russian V 06605,no
573,6606,Russian for Native Speakers 06606,no
574,6607,Russian Field Experience 06607,no
575,6608,Russian Conversation and Culture 06608,no
576,6609,Russian Literature 06609,no
577,6610,IB Language A (non-English)-Russian 06610,no
578,6611,IB Language-Russian 06611,no
579,6641,Balto-Slavic Language I 06641,no
580,6642,Balto-Slavic Language II 06642,no
581,6643,Balto-Slavic Language III 06643,no
582,6644,Balto-Slavic Language IV 06644,no
583,6645,Balto-Slavic Language V 06645,no
584,6646,Balto-Slavic Language for Native Speakers 06646,no
585,6647,Balto-Slavic Language Field Experience 06647,no
586,6648,Balto-Slavic Language Conversation and Culture 06648,no
587,6649,Balto-Slavic Literature 06649,no
588,6650,IB Language A (non-English)-Balto-Slavic Language 06650,no
589,6651,IB Language B-Balto-Slavic Language 06651,no
590,6659,Balto-Slavic Language-Other 06659,no
591,6661,Turkic/Ural-Altaic Language I 06661,no
592,6662,Turkic/Ural-Altaic Language II 06662,no
593,6663,Turkic/Ural-Altaic Language III 06663,no
594,6664,Turkic/Ural-Altaic Language IV 06664,no
595,6665,Turkic/Ural-Altaic Language V 06665,no
596,6666,Turkic/Ural-Altaic Language for Native Speakers 06666,no
597,6667,Turkic/Ural-Altaic Language Field Experience 06667,no
598,6668,Turkic/Ural-Altaic Language Conversation and Culture 06668,no
599,6669,Turkic/Ural-Altaic Literature 06669,no
600,6670,IB Language A (non-English)-Turkic/Ural-Altaic Language 06670,no
601,6671,IB Language B-Turkic/Ural-Altaic Language 06671,no
602,6679,Turkic/Ural-Altaic Language-Other 06679,no
603,6681,Iranian/Persian Language I 06681,no
604,6682,Iranian/Persian Language II 06682,no
605,6683,Iranian/Persian Language III 06683,no
606,6684,Iranian/Persian Language IV 06684,no
607,6685,Iranian/Persian Language V 06685,no
608,6686,Iranian/Persian Language for Native Speakers 06686,no
609,6687,Iranian/Persian Language Field Experience 06687,no
610,6688,Iranian/Persian Language Conversation and Culture 06688,no
611,6689,Iranian/Persian Literature 06689,no
612,6690,IB Language A (non-English)-Iranian/Persian Language 06690,no
613,6691,IB Language B-Iranian/Persian Language 06691,no
614,6699,Iranian/Persian Language-Other 06699,no
615,6701,Hebrew I 06701,no
616,6702,Hebrew II 06702,no
617,6703,Hebrew III 06703,no
618,6704,Hebrew IV 06704,no
619,6705,Hebrew V 06705,no
620,6706,Hebrew for Native Speakers 06706,no
621,6707,Hebrew Field Experience 06707,no
622,6708,Hebrew Conversation and Culture 06708,no
623,6709,Hebrew Literature 06709,no
624,6710,IB Language A (non-English)-Hebrew 06710,no
625,6711,IB Language B-Hebrew 06711,no
626,6712,IB Classical Languages-Hebrew 06712,no
627,6721,Arabic I 06721,no
628,6722,Arabic II 06722,no
629,6723,Arabic III 06723,no
630,6724,Arabic IV 06724,no
631,6725,Arabic V 06725,no
632,6726,Arabic for Native Speakers 06726,no
633,6727,Arabic Field Experience 06727,no
634,6728,Arabic Conversation and Culture 06728,no
635,6729,Arabic Literature 06729,no
636,6730,IB Language A (non-English)-Arabic 06730,no
637,6731,IB Language B-Arabic 06731,no
638,6732,IB Classical Languages-Arabic 06732,no
639,6759,Semitic and Near/Middle Eastern Languages-Other 06759,no
640,6761,Swahili I 06761,no
641,6762,Swahili II 06762,no
642,6763,Swahili III 06763,no
643,6764,Swahili IV 06764,no
644,6765,Swahili V 06765,no
645,6766,Swahili for Native Speakers 06766,no
646,6767,Swahili Field Experience 06767,no
647,6768,Swahili Conversation and Culture 06768,no
648,6769,Swahili Literature 06769,no
649,6770,IB Language A (non-English)-Swahili 06770,no
650,6771,IB Language B-Swahili 06771,no
651,6781,Non-Semitic African Language I 06781,no
652,6782,Non-Semitic African Language II 06782,no
653,6783,Non-Semitic African Language III 06783,no
654,6784,Non-Semitic African Language IV 06784,no
655,6785,Non-Semitic African Language V 06785,no
656,6786,Non-Semitic African Language for Native Speakers 06786,no
657,6787,Non-Semitic African Language Field Experience 06787,no
658,6788,Non-Semitic African Language Conversation and Culture 06788,no
659,6789,Non-Semitic African Literature 06789,no
660,6790,IB Language A (non-English)-Non-Semitic African Language 06790,no
661,6791,IB Language B-Non-Semitic African Language 06791,no
662,6799,Non-Semitic African Language-Other 06799,no
663,6801,American Sign Language I 06801,no
664,6802,American Sign Language II 06802,no
665,6803,American Sign Language III 06803,no
666,6804,American Sign Language IV 06804,no
667,6805,American Sign Language V 06805,no
668,6819,American Sign Language-Other 06819,no
669,6821,American Indian Language I 06821,no
670,6822,American Indian Language II 06822,no
671,6823,American Indian Language III 06823,no
672,6824,American Indian Language IV 06824,no
673,6825,American Indian Language V 06825,no
674,6826,American Indian Language for Native Speakers 06826,no
675,6827,American Indian Language Field Experience 06827,no
676,6828,American Indian Language Conversation and Culture 06828,no
677,6829,American Indian Literature 06829,no
678,6830,IB Language A (non-English)-American Indian Language 06830,no
679,6831,IB Language B-American Indian Language 06831,no
680,6839,American Indian Language-Other 06839,no
681,6841,Indic Language I 06841,no
682,6842,Indic Language II 06842,no
683,6843,Indic Language III 06843,no
684,6844,Indic Language IV 06844,no
685,6845,Indic Language V 06845,no
686,6846,Indic Language for Native Speakers 06846,no
687,6847,Indic Language Field Experience 06847,no
688,6848,Indic Language Conversation and Culture 06848,no
689,6849,Indic Literature 06849,no
690,6850,IB Language A (non-English)-Indic Language 06850,no
691,6851,IB Language B-Indic Language 06851,no
692,6859,Indic Language-Other 06859,no
693,6861,Malayo-Polynesian Language I 06861,no
694,6862,Malayo-Polynesian Language II 06862,no
695,6863,Malayo-Polynesian Language III 06863,no
